# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
5.700105604640735e-10	0.0019934573	0.008001581	0.7697701	0	0	0.25	4.950178e-16	-4.0580065e-16	4.3847155e-16	6.663941e-16	-2.0179062e-16	-8.716521	750	3.427907e-06
5.800687490255715e-10	0.0016668303	0.004445722	0.7694201	0	0	0.25	5.237334e-16	-4.0525937e-16	4.3808928e-16	6.679547e-16	-2.0169885e-16	-4.1946692	750	3.102857e-06
5.901312884987346e-10	0.0018218539	0.0038837607	0.7706938	0	0	0.25	4.9596617e-16	-4.06293e-16	4.3921297e-16	6.623991e-16	-2.0203276e-16	-7.850336	750	3.6483168e-06
6.001008552130896e-10	0.0021793079	0.0033080375	0.77003247	0	0	0.25	4.879284e-16	-4.0582998e-16	4.388446e-16	6.644662e-16	-2.0185941e-16	-8.187477	750	3.1269878e-06
6.100039148578668e-10	0.0023958464	0.002587379	0.76995397	0	0	0.25	4.77596e-16	-4.0543806e-16	4.3849686e-16	6.6432434e-16	-2.0183879e-16	-8.051132	750	2.861208e-06
6.200156632452226e-10	0.004958963	0.002552596	0.7704792	0	0	0.25	5.023074e-16	-4.0625524e-16	4.390249e-16	6.6449645e-16	-2.0197648e-16	-5.8348203	750	2.965048e-06
6.300835770212764e-10	0.005509151	0.0052327244	0.76991963	0	0	0.25	5.1655706e-16	-4.0599321e-16	4.3895463e-16	6.6527275e-16	-2.0182979e-16	-6.79518	750	4.409523e-06
6.401035560629815e-10	0.0035454775	0.004979579	0.769972	0	0	0.25	4.8604286e-16	-4.06579e-16	4.3940218e-16	6.6332394e-16	-2.0184356e-16	-5.822502	750	3.2010391e-06
6.5004047520641e-10	0.002001705	0.0028202466	0.76882863	0	0	0.25	4.8179536e-16	-4.0589316e-16	4.3852968e-16	6.6450645e-16	-2.015438e-16	-6.4205036	750	4.7156936e-06
6.6012575468962e-10	0.0040500686	0.00023084227	0.7705987	0	0	0.25	4.9711554e-16	-4.0640315e-16	4.3929307e-16	6.64025e-16	-2.0200784e-16	-6.5760064	750	3.5547887e-06
6.701345362459665e-10	0.001683903	0.0023113862	0.77203274	0	0	0.25	4.9110436e-16	-4.0804894e-16	4.4095236e-16	6.625467e-16	-2.0238374e-16	-6.795883	750	2.2956701e-06
6.800254787700552e-10	0.00230532	0.0019453904	0.77193516	0	0	0.25	5.0836106e-16	-4.0762995e-16	4.4060063e-16	6.612125e-16	-2.0235818e-16	-6.278103	750	3.3765152e-06
6.900332386824416e-10	0.002904356	0.0037993588	0.7705107	0	0	0.25	5.031827e-16	-4.0714354e-16	4.3988983e-16	6.6169584e-16	-2.0198472e-16	-7.024597	750	4.452044e-06
7.001316095214314e-10	0.0008703158	0.007041187	0.7688563	0	0	0.25	4.9869827e-16	-4.0536964e-16	4.382119e-16	6.5841253e-16	-2.0155107e-16	-7.560794	750	2.5397658e-06
7.10010744415678e-10	-0.0037852125	0.0048468844	0.7681925	0	0	0.25	5.013796e-16	-4.0535013e-16	4.382268e-16	6.6219686e-16	-2.013771e-16	-8.715644	750	3.9389606e-06
7.20012654218176e-10	-0.0040072864	0.0023963386	0.7664289	0	0	0.25	4.901932e-16	-4.0406775e-16	4.3664474e-16	6.644168e-16	-2.0091473e-16	-9.890205	750	3.5146725e-06
7.300815615525941e-10	-0.0044950717	0.0033152988	0.7645107	0	0	0.25	4.98956e-16	-4.0273616e-16	4.353019e-16	6.6806156e-16	-2.0041189e-16	-11.294433	750	3.1099842e-06
7.400593720692174e-10	-0.0055043204	0.00046409364	0.7633511	0	0	0.25	4.9530246e-16	-4.0175675e-16	4.3422022e-16	6.6774244e-16	-2.0010792e-16	-8.05998	750	2.9444325e-06
7.50088991850181e-10	-0.004580031	-7.593958e-05	0.7642047	0	0	0.25	5.0569757e-16	-4.0267383e-16	4.3516085e-16	6.6547615e-16	-2.0033166e-16	-8.368385	750	2.9539756e-06
7.600044746346638e-10	-0.00299558	-0.0025870823	0.76555336	0	0	0.25	4.866874e-16	-4.0429896e-16	4.367651e-16	6.629429e-16	-2.0068521e-16	-8.264954	750	3.2211728e-06
7.70145209396997e-10	-0.0010229067	-0.0005480966	0.76746273	0	0	0.25	4.9417363e-16	-4.0472494e-16	4.3741742e-16	6.592843e-16	-2.0118574e-16	-9.017788	750	3.9096735e-06
7.801426430717832e-10	-0.0001126618	-0.0020511844	0.76689166	0	0	0.25	4.9046024e-16	-4.0395515e-16	4.3672135e-16	6.665968e-16	-2.0103606e-16	-7.2828503	750	3.505651e-06
7.901146354612366e-10	-0.0018777805	-0.00159572	0.7685364	0	0	0.25	4.930845e-16	-4.0480938e-16	4.3753595e-16	6.667095e-16	-2.014672e-16	-7.7243156	750	2.42219e-06
8.000196580716027e-10	-0.004717528	-0.002486363	0.7706286	0	0	0.25	4.93261e-16	-4.0661298e-16	4.3942402e-16	6.6458443e-16	-2.0201566e-16	-6.768657	750	3.0582119e-06
8.100119039088228e-10	-0.0055366126	-0.0042862855	0.7723963	0	0	0.25	5.0034845e-16	-4.0790963e-16	4.4064957e-16	6.602246e-16	-2.0247907e-16	-10.511362	750	3.0286137e-06
8.200188515189612e-10	-0.004366953	-0.007141295	0.7720865	0	0	0.25	5.13771e-16	-4.0745223e-16	4.403253e-16	6.6194344e-16	-2.0239785e-16	-6.1996984	750	3.6845151e-06
8.301132127328128e-10	-0.0051930263	-0.006930894	0.77245533	0	0	0.25	4.9254955e-16	-4.0814936e-16	4.4097883e-16	6.5799213e-16	-2.0249453e-16	-6.991828	750	3.8064727e-06
8.401487035084704e-10	-0.002775836	-0.010098182	0.7703065	0	0	0.25	5.136107e-16	-4.0618168e-16	4.390782e-16	6.647709e-16	-2.0193123e-16	-8.070643	750	4.0775803e-06
