# t (s)	mx ()	my ()	mz ()	B_extx (T)	B_exty (T)	B_extz (T)	E_total (J)	E_anis (J)	E_demag (J)	E_exch (J)	E_Zeeman (J)	ext_topologicalcharge ()	Temp (K)	LastErr ()
9.400199756438691e-10	0.0008663064	0.0036695364	0.22942668	0	0	0.400001	1.0319223e-14	-1.9327974e-16	1.9298866e-16	1.049095e-14	-1.744944e-16	-18.673285	600	4.1831114e-05
9.500671136488338e-10	-0.00075113703	0.0033396215	0.22989658	0	0	0.400001	1.0304815e-14	-1.9368041e-16	1.932614e-16	1.0489958e-14	-1.7485181e-16	-33.907124	600	4.068011e-05
9.600364270205936e-10	-0.0022239937	0.0027271528	0.22884738	0	0	0.400001	1.0307702e-14	-1.9332844e-16	1.929389e-16	1.049901e-14	-1.740538e-16	-39.1296	600	4.697756e-05
9.700322360376924e-10	-0.003873008	0.0020845672	0.22920978	0	0	0.400001	1.0325168e-14	-1.9352266e-16	1.9308324e-16	1.04921954e-14	-1.7432943e-16	-29.338259	600	2.788979e-05
9.800780207450536e-10	-0.0026776493	0.0003321119	0.23056845	0	0	0.400001	1.0309776e-14	-1.9370172e-16	1.9364625e-16	1.0474807e-14	-1.753628e-16	-21.364256	600	3.1176132e-05
9.900568757956806e-10	-0.0024477374	-0.0014230231	0.23075244	0	0	0.400001	1.0295724e-14	-1.9358462e-16	1.9363298e-16	1.0484201e-14	-1.7550274e-16	-17.108547	600	3.431404e-05
1.000010111685846e-09	-0.0012369439	-0.003659885	0.22810128	0	0	0.400001	1.0322708e-14	-1.9327313e-16	1.931302e-16	1.0485723e-14	-1.7348636e-16	-34.30416	600	4.201003e-05
1.0100607596156249e-09	0.00068857905	-0.0033238681	0.22866799	0	0	0.400001	1.0319615e-14	-1.9364057e-16	1.9348554e-16	1.04761425e-14	-1.7391737e-16	-26.50588	600	3.8263588e-05
1.0200792590991464e-09	0.002316107	-0.0024583957	0.22805014	0	0	0.400001	1.03362905e-14	-1.9326982e-16	1.9323516e-16	1.0485904e-14	-1.7344745e-16	-24.044245	600	5.9812795e-05
1.0300283197922831e-09	0.0038762162	0.00041299776	0.22649653	0	0	0.400001	1.0330257e-14	-1.9341398e-16	1.9307682e-16	1.0499448e-14	-1.7226583e-16	-33.03028	600	2.834408e-05
1.0400114033082828e-09	0.0022978478	0.0036382694	0.22603339	0	0	0.400001	1.0324582e-14	-1.9283024e-16	1.9272754e-16	1.0493906e-14	-1.7191358e-16	-40.110134	600	3.305662e-05
1.0500517398183913e-09	-0.00052309036	0.0034002678	0.22668478	0	0	0.400001	1.03261795e-14	-1.9353135e-16	1.9308733e-16	1.0502579e-14	-1.7240899e-16	-20.73632	600	2.3967861e-05
1.0600173041687328e-09	-0.0021651755	0.001749029	0.22873554	0	0	0.400001	1.0314851e-14	-1.9350492e-16	1.9345628e-16	1.0496978e-14	-1.7396872e-16	-37.643623	600	2.550595e-05
1.0700021564293222e-09	-0.0027177867	0.0012874769	0.2291622	0	0	0.400001	1.0321841e-14	-1.9359467e-16	1.934869e-16	1.0492461e-14	-1.7429322e-16	-39.517258	600	3.794432e-05
1.0800215719742118e-09	-0.0021343413	-0.0004639746	0.22726293	0	0	0.400001	1.033785e-14	-1.930843e-16	1.9279437e-16	1.05034635e-14	-1.728487e-16	-33.528473	600	3.651732e-05
1.0900753388792637e-09	7.510146e-05	-0.0021695052	0.22685951	0	0	0.400001	1.0333795e-14	-1.9331889e-16	1.9310202e-16	1.04939285e-14	-1.7254191e-16	-19.397642	600	3.165596e-05
1.1000323195986927e-09	0.0018855396	-0.0017700873	0.22593936	0	0	0.400001	1.0348501e-14	-1.9295974e-16	1.9247855e-16	1.0493004e-14	-1.7184207e-16	-20.477518	600	2.9845134e-05
1.1100354398985196e-09	0.00357908	-0.0007506544	0.2256388	0	0	0.400001	1.03273094e-14	-1.9294881e-16	1.9259053e-16	1.0497548e-14	-1.7161345e-16	-25.135353	600	3.7583646e-05
1.1200246608889066e-09	0.0027119163	0.0013069232	0.22641912	0	0	0.400001	1.0309925e-14	-1.9300961e-16	1.9274408e-16	1.04927706e-14	-1.7220695e-16	-19.863886	600	2.7643437e-05
1.1300189655526764e-09	0.001009302	0.0020392616	0.22688854	0	0	0.400001	1.0333046e-14	-1.9315543e-16	1.9254369e-16	1.0491999e-14	-1.7256398e-16	-17.506207	600	4.106287e-05
1.1400052822098526e-09	-0.0008923352	0.0020120803	0.227576	0	0	0.400001	1.0350394e-14	-1.9332661e-16	1.9289753e-16	1.04926825e-14	-1.7308682e-16	-44.28315	600	4.423953e-05
1.1500253914806994e-09	-0.0020477688	0.00089815876	0.22791559	0	0	0.400001	1.0295367e-14	-1.9336492e-16	1.9297093e-16	1.0487615e-14	-1.7334511e-16	-18.361115	600	3.5386074e-05
1.160051423763812e-09	-0.0027374085	-0.0019691924	0.22948208	0	0	0.400001	1.0279986e-14	-1.9358574e-16	1.9320732e-16	1.0480493e-14	-1.7453655e-16	-21.987204	600	2.4842508e-05
1.170040981533431e-09	-0.002184012	-0.0021660293	0.22871052	0	0	0.400001	1.0297615e-14	-1.934336e-16	1.934378e-16	1.0469751e-14	-1.7394972e-16	-15.719026	600	4.161246e-05
1.180023222231256e-09	-0.0018285788	-0.0035359366	0.22871913	0	0	0.400001	1.0290667e-14	-1.9385985e-16	1.9315412e-16	1.046874e-14	-1.7395627e-16	-24.530235	600	3.1888932e-05
1.190079518638457e-09	0.0011591702	-0.004020525	0.22703247	0	0	0.400001	1.0292567e-14	-1.931825e-16	1.9309487e-16	1.0483168e-14	-1.7267344e-16	-17.75458	600	6.561712e-05
1.2000131309182139e-09	0.0032733711	-0.0013712563	0.22751684	0	0	0.400001	1.0325875e-14	-1.9308191e-16	1.9292479e-16	1.049292e-14	-1.7304184e-16	-35.697247	600	2.6849519e-05
1.2100078814826078e-09	0.0036162287	0.0016641639	0.22687843	0	0	0.400001	1.03118934e-14	-1.931746e-16	1.9287029e-16	1.0494412e-14	-1.7255627e-16	-49.919376	600	1.8991375e-05
1.2200229227165059e-09	0.0006862795	0.002005326	0.22757047	0	0	0.400001	1.03648415e-14	-1.93288e-16	1.932239e-16	1.0509269e-14	-1.7308262e-16	-42.33716	600	3.135897e-05
1.2300137773247772e-09	-0.000738474	0.0017929034	0.22786647	0	0	0.400001	1.0323292e-14	-1.9325986e-16	1.9292548e-16	1.0500063e-14	-1.7330776e-16	-34.01562	600	2.993212e-05
1.2400018543860287e-09	-0.002182715	0.001348376	0.22774887	0	0	0.400001	1.0331346e-14	-1.9357045e-16	1.9291604e-16	1.0507086e-14	-1.7321833e-16	-24.52661	600	3.7925103e-05
1.2500772212046476e-09	-0.0010746783	-0.0014055109	0.22844699	0	0	0.400001	1.0324135e-14	-1.9312989e-16	1.9261713e-16	1.0489443e-14	-1.7374927e-16	-37.459965	600	4.6959904e-05
1.260003382825923e-09	0.00067411026	-0.0017653602	0.22892143	0	0	0.400001	1.0310863e-14	-1.9324731e-16	1.9317418e-16	1.048015e-14	-1.7411012e-16	-29.15503	600	4.0654337e-05
1.2700823850801478e-09	0.0017816284	-0.00048402674	0.2280265	0	0	0.400001	1.0310034e-14	-1.9323834e-16	1.9307507e-16	1.0485423e-14	-1.7342949e-16	-30.838408	600	3.1559593e-05
1.2800842538573724e-09	0.000976396	-0.0013632843	0.23028675	0	0	0.400001	1.0295916e-14	-1.9388534e-16	1.9360893e-16	1.0475496e-14	-1.7514853e-16	-30.665684	600	4.921435e-05
1.2900144947142881e-09	0.0009836059	-0.0014315813	0.22794074	0	0	0.400001	1.0327408e-14	-1.931272e-16	1.9280654e-16	1.049375e-14	-1.7336425e-16	-17.988796	600	2.838343e-05
